epoch,accuracy_test_before,accuracy_test_after
0,14.769975786924938,74.25343018563358
1,21.978021978021978,68.68131868131869
2,24.059003051881994,69.98982706002035
3,13.55421686746988,83.58433734939759
4,43.75,78.37301587301587
5,27.392550143266476,84.35530085959886
6,33.16400580551524,81.6400580551524
7,66.86236138290933,87.14938030006523
8,31.65775401069519,77.37967914438502
9,73.67531003382187,79.31228861330327
10,43.32006822057988,77.60090960773167
11,47.876004592422504,77.15269804822043
12,63.87543252595156,85.05190311418686
13,64.0926640926641,70.65637065637065
14,44.26152398871119,78.03386641580433
15,38.427947598253276,72.7802037845706
16,64.0196767392832,73.85804638088545
17,49.89376770538244,86.57932011331445
18,63.014981273408246,86.61048689138576
19,45.073375262054505,79.03563941299791
20,70.37358818418767,86.53344917463076
21,44.111906310995444,83.92973324658426
22,66.28989361702128,79.65425531914893
23,68.9859363434493,84.7520355292376
24,66.29086809470124,87.59864712514093
25,72.1565059144677,86.62420382165605
26,58.12274368231047,82.49097472924187
27,70.54120541205413,82.90282902829028
28,47.94326241134752,85.177304964539
29,77.65598650927488,89.29173693086003
30,44.07276995305164,78.40375586854461
31,62.17038539553753,82.86004056795132
32,69.31818181818183,88.97727272727273
33,51.09649122807017,71.16228070175438
34,61.99261992619927,86.11623616236163
35,66.46010844306738,85.12780790085205
36,58.41737781225756,89.37160589604345
37,50.091911764705884,88.05147058823529
38,73.12414733969986,89.49522510231922
39,53.24449594438006,85.74739281575899
40,48.26572604350382,83.1275720164609
41,64.10761154855643,82.02099737532808
42,59.47660586835845,83.0293417922284
43,53.3869885982562,86.04963112005366
44,60.76221148684917,85.45356951154052
45,47.90337283500456,83.68277119416591
46,58.12167749556999,84.34731246308328
47,58.73091603053435,85.63931297709924
48,56.16575137294058,87.11932101847229
49,62.59590792838875,87.2762148337596
50,61.09090909090909,88.36363636363636
51,70.0473292765382,86.34212305611901
52,56.848137535816626,85.0429799426934
53,55.3747323340471,81.62740899357601
54,60.86337760910816,87.71347248576849
55,57.07964601769911,90.7079646017699
56,57.20720720720721,83.96396396396396
57,56.221792392005156,88.2656350741457
58,33.387622149837135,85.91205211726385
59,39.62703962703963,92.3076923076923
60,35.47863710113575,84.47809626825311
61,42.95485636114911,85.90971272229822
62,55.493951612903224,85.98790322580645
63,58.71478873239436,85.47535211267606
64,52.80898876404494,89.76279650436953
65,51.317027281279394,86.87676387582314
66,60.6405693950178,90.8185053380783
67,48.6586493987049,85.47641073080482
68,50.16059957173448,84.04710920770879
69,52.15021199273168,80.9206541490006
70,62.88384512683578,89.18558077436583
71,52.241715399610136,78.88239116309292
72,63.54651162790697,85.17441860465115
73,59.693251533742334,88.52760736196319
74,47.316704459561606,87.52834467120182
75,46.246973365617436,80.38740920096852
76,37.35188047398248,83.20453374549201
77,55.43226999537679,86.9625520110957
78,40.67796610169492,82.71186440677965
79,62.817796610169495,84.26906779661016
80,43.64694471387003,82.15324927255092
81,51.245704467353946,87.9295532646048
82,54.559505409582684,88.02163833075734
83,49.44863609982589,88.45037724898432
84,57.350868952559885,86.00281822451855
85,66.2871287128713,89.05940594059406
86,50.39682539682539,89.58333333333334
87,39.42652329749104,82.07885304659499
88,54.646544876886416,89.99205718824463
89,49.73684210526316,90.13157894736842
90,61.74496644295302,89.74113135186961
91,47.083333333333336,89.75
92,52.30557467309016,84.79008947006193
93,69.03690369036903,89.64896489648964
94,48.73129472999349,88.48405985686402
95,57.591973244147155,87.6923076923077
96,56.15275813295615,84.58274398868458
97,51.10913930789707,83.22981366459628
98,45.09561998766194,88.03207896360271
99,57.01036552100381,88.43426077468631
100,61.21580547112462,90.2127659574468
101,48.19078947368421,86.10197368421053
102,50.451807228915655,90.51204819277109
103,54.9407114624506,91.5415019762846
104,49.2653810835629,82.04775022956842
105,51.03132161955691,86.09625668449198
106,59.09090909090909,88.78143133462282
107,39.890496675791944,85.1779429018381
108,53.63234365129501,86.41819330385344
109,49.730700179533216,83.96169958108916
110,54.00291120815138,90.97525473071325
111,47.05611775528979,87.99448022079117
112,60.09615384615385,85.09615384615384
113,39.851485148514854,82.0957095709571
114,51.06539309331374,86.48052902277738
115,51.04732350659425,85.88052754072925
116,57.37801293356849,87.36037624926513
117,52.895322939866375,86.30289532293986
118,55.130890052356015,87.69633507853402
119,50.858175248419144,83.73983739837398
120,52.280955829109345,89.50036205648081
121,51.29533678756477,86.52849740932642
122,56.64913598797896,86.77685950413223
123,58.983799705449194,84.75699558173785
124,60.1716304896517,90.25744573447754
125,52.987421383647806,90.72327044025157
126,55.65019875070982,91.59568427030096
127,50.85078534031413,80.49738219895288
128,60.037290242386575,87.56991920447483
129,42.96028880866426,86.13718411552347
130,58.50840336134454,87.07983193277312
131,58.427571351642435,86.48357565966613
132,52.97079556898288,84.13897280966768
133,59.03925619834711,89.61776859504133
134,46.30755864465682,82.01563857515204
135,52.83267457180501,83.6627140974967
136,62.207357859531776,86.62207357859532
137,41.466420209488604,82.68638324091188
138,53.90173410404624,87.78901734104046
139,46.78445229681979,76.46643109540636
140,54.01262398557258,81.2443642921551
141,61.54562383612663,87.05772811918064
142,65.09615384615385,89.03846153846153
143,48.87543252595156,88.840830449827
144,48.5589519650655,89.6943231441048
145,43.99788471708091,84.45267054468535
146,56.705620478575405,82.08124652198107
147,61.46886641830761,86.26929217668973
148,63.53194544149318,83.2735104091888
149,52.10918114143921,82.13399503722084
150,59.93930197268589,91.350531107739
151,61.192982456140356,89.54385964912281
152,51.62337662337663,79.54545454545455
153,65.60232220609579,84.76052249637155
154,50.22890778286462,84.36886854153042
155,50.88161209068011,88.86649874055415
156,54.58404074702886,88.45500848896435
157,58.21794099939795,86.8151715833835
158,61.36552872606161,89.09242298084929
159,56.38745905474964,89.8455779129621
160,57.650951199338294,88.99917287014061
161,54.107883817427386,85.97510373443984
162,56.56884875846501,86.90744920993228
163,56.95674830640959,88.58780614903596
164,63.0827067669173,87.06766917293233
165,54.329210275927686,86.58420551855376
166,44.333333333333336,86.5
167,50.38805970149254,86.38805970149254
168,61.62046908315565,86.46055437100213
169,62.58351893095768,86.52561247216035
170,58.77141169521559,86.82811577082103
171,52.57270693512305,89.57494407158836
172,54.52399685287176,86.70338316286389
173,59.713297083539295,88.68017795353435
174,54.10903173311635,88.36452400325467
175,61.882716049382715,82.02160493827161
176,57.45635910224439,89.47630922693267
177,54.01184706515886,88.42218632202477
178,56.85814771395076,83.82180539273153
179,53.64791288566243,90.38112522686026
180,70.00903342366756,91.1472448057814
181,53.191489361702125,89.26038500506586
182,52.307692307692314,83.71794871794872
183,55.19005847953217,86.91520467836257
184,48.75755540631296,89.5903290799194
185,44.747899159663866,91.1064425770308
186,53.109243697478995,90.0
187,59.838817998656815,88.71725990597716
188,48.844375963020035,88.75192604006163
189,54.21611492816989,92.06745783885071
190,53.936822253653936,87.6001885902876
191,54.552529182879375,88.24902723735408
192,65.53459119496856,84.71698113207547
193,62.96495956873316,90.02695417789758
194,61.572052401746724,88.29694323144105
195,57.714285714285715,87.0
196,55.497382198952884,85.47120418848168
197,56.547978273989145,82.92094146047073
198,63.13785224676314,89.71820258948972
199,57.905138339920946,88.85375494071145
200,46.98097601323408,85.11166253101737
201,48.148148148148145,88.79629629629629
202,55.28578654527061,87.202832574608
203,39.49635520212061,85.02319416832339
204,56.963162623539986,88.14016172506739
205,56.78824721377913,88.09523809523809
206,66.29477392836172,85.08514386376982
207,53.04154302670623,89.54005934718101
208,52.37226277372263,89.23357664233576
209,53.04878048780488,85.77235772357723
210,54.84633569739953,90.95744680851064
211,53.46197502837684,84.90351872871736
212,63.19534282018111,84.02328589909443
213,43.36898395721926,86.41711229946523
214,57.57271815446339,86.15847542627884
215,56.27705627705628,81.0966810966811
216,45.29520295202952,83.76383763837639
217,51.05263157894737,87.74436090225564
218,52.35803657362849,78.63330125120308
219,54.736842105263165,86.5903890160183
220,61.146496815286625,87.64331210191084
221,63.521400778210115,85.99221789883269
222,63.37386018237082,90.34954407294833
223,62.79609846725499,89.59591267998142
224,52.63724434876211,87.13670613562971
225,61.16584564860427,86.28899835796388
226,61.93975018368847,89.19911829537105
227,59.68819599109132,86.52561247216035
228,63.174019607843135,84.62009803921569
229,56.50485436893204,89.38511326860842
230,59.87862440997978,87.18813216453135
231,55.437262357414454,82.58555133079848
232,48.7098804279421,87.91692888609188
233,47.299509001636665,83.06055646481178
234,52.721088435374156,86.39455782312925
235,61.793214862681744,90.14539579967689
236,55.604395604395606,87.91208791208791
237,59.241531664212076,87.96023564064801
238,55.58194774346793,86.93586698337292
239,54.800590841949784,91.5805022156573
240,60.22514071294559,91.18198874296435
241,48.09399477806788,88.1462140992167
242,57.87125557680051,84.95857233906948
243,58.50234009360374,88.53354134165366
244,65.5328798185941,85.94104308390023
245,48.61431870669746,82.67898383371825
246,60.283315844700944,86.93599160545645
247,60.576400217509516,86.84067427949972
248,61.832061068702295,87.66881972988844
249,48.68085106382979,83.57446808510637
250,61.34770889487871,87.87061994609164
251,51.02639296187683,86.58357771260997
252,49.111617312072894,87.6993166287016
253,55.161544523246654,84.86997635933807
254,52.901023890784984,87.8839590443686
255,55.203619909502265,87.84744667097608
256,55.49687950072012,89.29428708593376
257,67.41674167416741,88.92889288928892
258,60.099064391854704,89.76334617501377
259,57.21254355400697,88.43205574912892
260,58.55466337245213,90.30265596046942
