epoch,accuracy_test_before,accuracy_test_after
0,10.480167014613778,44.00835073068893
1,26.753121998078772,42.603266090297794
2,26.024235429890364,45.98961338718984
3,40.31046569854782,52.37856785177767
4,58.955765047135614,69.79695431472082
5,58.61218738992603,79.67594223318069
6,64.47610294117648,78.58455882352942
7,78.98363479758828,79.02670111972438
8,78.05486284289277,82.33582709891937
9,81.54351395730706,78.0623973727422
10,78.50553505535055,76.4760147601476
11,80.0,81.59420289855073
12,84.7345132743363,81.82153392330383
13,84.02088772845953,83.39425587467363
14,84.58891013384321,83.82409177820269
15,86.06089438629876,85.01427212178876
16,85.71428571428571,84.30851063829788
17,82.8913156526261,84.03536141445657
18,85.16363636363636,82.69090909090909
19,85.98749540272159,83.00845899227657
20,86.9972785001512,86.51345630480797
21,86.42979452054794,83.6472602739726
22,87.3446847676024,86.28624022089278
23,87.81555031975766,87.68091551666106
24,86.46092583374814,85.46540567446492
25,86.79678530424799,85.76349024110218
26,87.89173789173789,88.74643874643876
27,88.7592788971368,87.34535171438671
28,90.33280507131536,88.27258320126784
29,88.72852233676976,88.35051546391752
30,88.71170793117919,86.65547629039027
31,87.29896907216495,86.51546391752576
32,87.64634638675818,86.11223253936214
33,90.25457438345266,88.78281622911695
34,87.78280542986425,87.60180995475113
35,90.72847682119205,89.32606155044799
36,89.937106918239,88.83647798742138
37,88.78576952822893,87.89636504253674
38,88.65020840012825,87.88073100352676
39,90.057845263919,88.79248011569054
40,88.97545773276198,88.0794701986755
41,89.4206549118388,88.76574307304786
42,87.26801899007337,87.61329305135952
43,88.75,87.64999999999999
44,88.43363209560393,87.02518139137857
45,90.23076923076923,89.26923076923077
46,90.3957131079967,89.4888705688376
47,89.48226661231146,88.01467590705259
48,89.8079184633477,88.35750686005488
49,87.6233552631579,86.71875
50,90.12911286963765,89.17117867555186
51,89.81383912890763,88.93572181243414
52,90.90025906735751,89.79922279792746
53,90.51500555761393,89.25527973323453
54,88.67276887871853,88.558352402746
55,89.17802560925237,88.72366790582404
56,90.76862123613311,90.01584786053883
57,90.72907290729073,89.87398739873987
58,89.8078529657477,88.68003341687553
59,88.54122621564483,88.16067653276956
60,88.71473354231975,88.04299149126736
61,90.05059021922428,89.58684654300168
62,90.17288444040037,88.58052775250226
63,89.79591836734694,87.89748457522543
64,90.0,89.46428571428572
65,88.78008975928192,88.82088943288454
66,90.00771604938271,88.92746913580247
67,87.14963346269944,86.02846054333764
68,89.48339483394834,89.52952029520294
69,91.04138244656662,90.08640291041382
70,89.03225806451613,88.2258064516129
71,89.82662741249591,88.48544324501145
72,88.73038516405136,87.54160722776986
73,89.34029071934401,87.88669399925456
74,88.39808408728047,87.75944651410325
75,88.88888888888889,88.79392212725547
76,90.56999161777033,89.3964794635373
77,89.42881500426257,88.53367433930094
78,90.55018899622007,89.62620747585048
79,89.78128361419864,89.24345643599857
80,88.491517652453,88.1247134342045
81,89.36011904761905,89.09970238095238
82,90.35765379113019,89.67095851216023
83,87.95126353790613,87.68050541516246
84,89.96809641970933,89.54271534916695
85,90.10703859876743,89.62049951346091
86,89.48111542534416,89.12813272149664
87,87.6068376068376,87.3931623931624
88,90.3411608329641,89.76517501107665
89,87.04103671706264,86.64506839452844
90,89.72411035585766,88.96441423430628
