epoch,accuracy_test_before,accuracy_test_after
0,10.5456774984672,49.96934396076027
1,20.75862068965517,49.03448275862069
2,31.155433287482808,48.762035763411276
3,31.289808917197455,43.47133757961784
4,35.8347876672484,49.21465968586388
5,32.314410480349345,53.34788937409025
6,30.30474040632054,49.20993227990971
7,52.60736196319018,52.53067484662577
8,36.71388101983003,50.42492917847026
9,46.167883211678834,47.08029197080292
10,42.47471743010113,53.65853658536586
11,46.12518628912072,52.459016393442624
12,48.22738386308069,60.33007334963325
13,49.785714285714285,51.714285714285715
14,41.090909090909086,51.81818181818182
15,46.40921409214092,49.93224932249323
16,56.88135593220339,54.91525423728814
17,50.282805429864254,53.619909502262445
18,48.53146853146853,49.510489510489506
19,45.64660691421255,54.09731113956467
20,48.32605531295487,52.256186317321685
21,47.4415666456096,50.78963992419456
22,50.94476744186046,48.25581395348838
23,55.02873563218391,52.22701149425287
24,51.543431442928934,40.91888011486001
25,43.336275375110326,52.07413945278023
26,50.63357972544878,56.70538542766631
27,56.77233429394812,56.195965417867434
28,60.202450719232814,61.58763985082578
29,54.81812380344607,56.54116145500957
30,53.43065693430656,55.76642335766423
31,49.36386768447837,53.350296861747246
32,53.910795087265676,57.336780866192626
33,50.77247191011236,48.174157303370784
34,53.14559616536848,54.70341521869383
35,57.29847494553377,47.930283224400874
36,55.89576547231271,57.524429967426705
37,56.27737226277372,53.94160583941606
38,57.027027027027025,54.45945945945946
39,49.00542495479204,56.84147076552139
40,50.51319648093842,55.93841642228738
41,54.037267080745345,54.90683229813664
42,58.85167464114832,57.77511961722488
43,52.93631100082713,49.9586435070306
44,50.580204778157004,54.40273037542662
45,53.051643192488264,56.47216633132126
46,54.35768261964735,55.91939546599496
47,56.50623885918004,54.72370766488414
48,55.893536121673,53.42205323193916
49,53.87205387205387,53.42312008978676
50,53.84615384615385,58.62584017923824
51,56.93928128872366,59.727385377943
52,54.341889677771704,52.3211359912616
53,54.148148148148145,58.074074074074076
54,55.87371512481645,57.12187958883994
55,59.14634146341463,58.84146341463414
56,50.28997514498757,49.2129246064623
57,60.04983388704319,59.63455149501661
58,50.48465266558966,51.29240710823909
59,60.100586756077114,59.7652975691534
60,54.45783132530121,53.67469879518072
61,48.64546525323911,50.94228504122496
62,53.92030848329049,56.041131105398456
63,54.41001191895113,55.72109654350417
64,60.208212839791784,61.07576633892423
65,56.08726249120338,55.946516537649536
66,55.29340592861464,55.414398064125834
67,52.09444021325209,51.63747143945163
68,57.29847494553377,56.28177196804648
69,56.10955056179775,57.65449438202247
70,49.36896807720861,49.29472902746845
71,50.81839438815277,52.92283710054559
72,56.68918918918919,57.0945945945946
73,59.7004765146358,61.470388019060586
74,59.59354453078303,58.93604303646145
75,55.87703435804702,55.51537070524412
76,57.07006369426752,55.60509554140127
77,60.10197578075207,60.67558954748248
78,50.248344370860934,50.331125827814574
79,50.4394861392833,49.560513860716696
80,55.764411027568926,54.07268170426065
81,54.756242568370986,54.28061831153389
82,58.04597701149425,59.84195402298851
83,57.84061696658098,58.09768637532133
84,57.68245838668374,58.5147247119078
85,56.18872549019608,56.43382352941176
86,54.984662576687114,54.75460122699386
