epoch,accuracy_test_before,accuracy_test_after
0,12.691600245248313,50.64377682403433
1,31.862068965517242,56.137931034482754
2,33.83768913342504,55.98349381017882
3,32.245222929936304,56.36942675159236
4,41.59394997091332,58.46422338568935
5,33.11499272197962,60.18922852983989
6,35.72234762979684,57.95711060948081
7,48.54294478527607,59.8159509202454
8,35.07082152974505,61.01983002832861
9,50.06082725060828,58.69829683698297
10,48.78048780487805,63.950029744199874
11,46.34873323397913,62.14605067064084
12,52.20048899755502,68.52078239608802
13,51.642857142857146,62.5
14,47.57575757575758,63.87878787878788
15,46.00271002710027,60.97560975609756
16,50.23728813559322,65.42372881355932
17,51.01809954751131,65.72398190045249
18,56.78321678321679,66.01398601398601
19,49.74391805377721,66.38924455825864
20,51.67394468704513,63.901018922852984
21,49.39987365761213,61.78142766898295
22,56.5406976744186,63.22674418604651
23,50.287356321839084,66.16379310344827
24,48.02584350323043,55.85068198133525
25,59.48808473080318,64.43071491615181
26,56.071805702217524,67.2650475184794
27,54.69740634005764,68.81844380403457
28,57.37879595098562,70.11188066062867
29,57.68985322271857,69.11295469049138
30,60.65693430656934,67.44525547445257
31,57.08227311280747,65.81849024597116
32,60.37491919844861,69.6186166774402
33,57.16292134831461,63.76404494382022
34,59.257040143798676,68.12462552426602
35,53.37690631808278,66.3761801016703
36,59.34853420195439,70.74918566775244
37,57.372262773722625,69.34306569343066
38,64.32432432432432,69.5945945945946
39,63.53224834237492,71.60940325497288
40,52.93255131964809,68.10850439882698
41,63.1055900621118,70.31055900621118
42,61.72248803827751,71.5909090909091
43,60.297766749379655,69.89247311827957
44,61.84300341296929,69.1467576791809
45,60.8316566063045,70.08718980549966
46,59.042821158690174,68.31234256926952
47,61.97266785502079,70.94474153297683
48,60.13941698352345,68.25095057034221
49,62.96296296296296,70.93153759820426
50,63.032113517550414,74.90664675130695
51,60.904584882280055,72.11895910780669
52,62.04259967231022,70.34407427635172
53,59.7037037037037,70.5925925925926
54,65.63876651982379,72.68722466960352
55,64.86280487804879,73.39939024390245
56,61.06048053024027,66.19718309859155
57,63.2890365448505,73.25581395348837
58,61.63166397415186,68.73990306946688
59,63.872590108968986,72.75775356244762
60,63.313253012048186,70.66265060240964
61,61.36631330977621,68.84570082449942
62,66.83804627249359,72.10796915167094
63,63.2896305125149,70.3814064362336
64,66.28108733371892,73.85772122614227
65,63.96903589021815,72.34342012667135
66,62.73442226255293,71.26436781609196
67,63.74714394516374,68.0883472962681
68,62.01888162672476,72.9121278140886
69,61.93820224719101,71.48876404494382
70,62.28656273199703,67.55753526354863
71,62.743569758378804,69.6024941543258
72,62.77027027027027,72.56756756756756
73,63.58066712049013,73.31518039482641
74,62.16377764494919,72.44471010161386
75,64.10488245931283,71.60940325497288
76,64.64968152866241,71.52866242038216
77,65.5831739961759,74.76099426386233
78,59.93377483443708,66.72185430463577
79,64.57065584854631,69.43881000676132
80,67.54385964912281,73.24561403508771
81,65.16052318668251,71.93816884661118
82,67.60057471264368,74.78448275862068
83,67.73778920308483,73.52185089974293
84,61.8437900128041,73.8156209987196
85,65.19607843137256,72.30392156862744
86,63.95705521472392,71.08895705521472
87,60.06734006734007,70.77441077441078
88,63.363754889178615,74.38070404172099
89,65.10611735330836,73.1585518102372
90,68.56725146198829,71.34502923976608
91,63.72372372372372,71.83183183183182
92,64.25,73.4375
93,68.45110635260528,73.09064953604569
94,63.74622356495468,73.23262839879155
95,62.2778675282714,73.02100161550888
96,68.26086956521739,74.78260869565217
97,64.01544401544402,72.2007722007722
98,65.60283687943263,71.04018912529551
99,67.45594713656388,75.33039647577093
100,66.38225255972696,71.41638225255973
101,67.99742433998712,72.82678686413394
102,63.82007822685789,69.10039113428944
103,67.09546377792823,73.52742044685172
104,67.08302718589273,70.75679647318148
105,65.79417013682331,74.12254610350982
106,66.57871591908531,70.18469656992085
107,67.08029197080292,73.43065693430657
108,64.00550584996559,70.88781830695113
109,66.76575505350772,72.294887039239
110,66.46795827123697,72.80178837555886
111,67.61401189689359,72.24058162590879
112,71.02941176470588,73.6029411764706
113,66.03403141361257,71.72774869109948
114,65.32349602724177,72.58796821793416
115,62.29151559100797,72.58883248730965
116,63.28600405679513,69.91210277214334
117,66.69242658423494,71.94744976816074
118,67.32726298875201,73.54043920728441
119,70.37996545768567,77.37478411053542
120,69.44035346097202,76.06774668630338
121,69.49640287769783,73.7410071942446
122,65.80278128950695,72.18710493046775
123,67.6865671641791,71.34328358208955
124,70.0754975978037,74.87989018531228
125,68.83116883116884,74.45887445887446
126,67.206132879046,74.61669505962521
127,66.93598508390305,73.83467992541951
128,69.47549441100603,73.77472055030094
129,65.94488188976378,72.9002624671916
130,66.70739156994502,73.54917532070861
131,68.84906960716746,73.39765678842178
132,67.35714285714286,71.0
133,67.40847092605887,73.07968413496052
134,68.32298136645963,72.73982056590752
135,65.4251012145749,72.71255060728745
136,65.32258064516128,69.6650124069479
137,72.41777264858626,76.68782458165032
138,68.09968847352025,73.33333333333333
139,68.65325077399382,71.20743034055728
140,67.44186046511628,71.80232558139535
141,69.23076923076923,74.41352973267867
142,66.16052060737528,73.60809833694866
143,68.91385767790263,72.34706616729089
144,69.97167138810198,78.75354107648725
145,69.23076923076923,75.36907536907536
146,69.53191489361701,73.1063829787234
147,68.72146118721462,75.64687975646879
148,72.0505617977528,76.33426966292134
149,68.61094407696933,73.66205652435357
150,71.41868512110726,77.64705882352942
151,70.93802345058626,74.79061976549414
152,67.92313377679231,73.98373983739837
153,65.1413189771198,72.00538358008075
154,66.49451258876695,70.23886378308586
155,69.39820742637644,73.11139564660691
156,68.43054720384846,71.79795550210463
157,68.46394984326018,71.78683385579937
158,73.31440738112136,76.65010645848119
159,71.13997113997114,75.18037518037518
160,68.93353941267388,74.65224111282845
161,70.21604938271605,74.07407407407408
162,70.61745919091554,74.66288147622427
163,67.91758646063282,73.80426784400295
164,71.23449497932664,75.19196692262257
165,72.41192411924119,76.85636856368563
