epoch,accuracy_test_before,accuracy_test_after
0,55.36431440045898,73.26448651749857
1,74.52948557089084,84.56712672521958
2,65.10244547257105,85.06278916060806
3,76.01092896174863,85.51912568306011
4,74.10071942446042,85.3901494189264
5,68.30379746835443,82.43037974683544
6,66.36038795303726,86.26850433894845
7,79.67064168086314,85.23566155593413
8,74.10526315789474,88.89473684210526
9,76.11940298507463,83.69264787175234
10,82.92121909143185,91.25934445083381
11,73.71575342465754,91.3527397260274
12,75.51622418879056,84.42477876106194
13,78.27380952380952,86.85515873015873
14,83.48170128585559,88.47675568743819
15,81.31021194605009,88.82466281310212
16,84.18150975402884,90.79728583545378
17,84.81701285855588,90.20771513353115
18,84.51720310765816,91.89789123196448
19,83.27560613557645,88.91637803067788
20,82.625,87.0625
21,80.43126684636118,90.08086253369272
22,85.66912539515279,89.56796628029505
23,83.34297281665702,89.58935801041065
24,83.07426597582038,90.90385722510075
25,86.02504943968358,90.2439024390244
26,87.74509803921569,92.64705882352942
27,81.65803108808291,87.87564766839378
28,87.42802303262955,90.01919385796545
29,88.85281385281385,90.53030303030303
30,87.6470588235294,90.58823529411765
31,86.73408685306366,92.08804283164783
32,82.91995490417136,87.99323562570463
33,88.95743368291178,91.67180752621839
34,86.67992047713717,92.34592445328032
35,84.22995780590718,89.82067510548524
36,85.44600938967136,90.07377598926894
37,84.55331412103746,89.56772334293947
38,85.64993564993564,86.48648648648648
39,84.9047619047619,91.14285714285715
40,87.13942307692307,93.93028846153845
41,87.30251609128145,91.86658864833235
42,90.59233449477352,92.27642276422763
43,87.08229426433915,90.92269326683292
44,89.49909474954737,91.06819553409777
45,87.8731343283582,90.98258706467661
46,89.61175236096537,92.60230849947534
47,86.22800306044377,90.81866870696251
48,90.19607843137256,92.82913165266106
49,86.97201017811705,89.00763358778626
50,86.40864086408641,91.22412241224123
51,87.89893617021278,90.11524822695036
52,84.95359062042013,90.18075232046898
53,89.272030651341,92.43295019157088
54,89.72972972972974,92.16216216216216
55,90.55158324821247,95.658835546476
56,88.94039735099338,90.19867549668874
57,92.48400852878464,93.86993603411514
58,88.56956237753103,92.42325277596343
59,87.99048751486326,92.15219976218788
60,88.68131868131867,91.26373626373626
61,90.88851160158461,93.49179400113186
62,91.59519725557462,93.13893653516296
63,90.76305220883533,92.43641231593038
64,89.24731182795699,92.20430107526882
65,92.12843086483687,92.90523045054377
66,90.43088975937326,93.84443200895355
67,91.21744397334949,92.54996971532404
68,90.33232628398792,92.97583081570997
69,90.71340713407135,93.66543665436654
70,89.13491246138003,92.58496395468589
71,86.92220969560316,88.7260428410372
72,90.04665629860031,91.75738724727839
73,90.86294416243655,92.13197969543148
74,88.5980221058755,90.11052937754508
75,89.66623876765082,91.27086007702182
76,86.58034137728076,90.87698646262507
77,90.69767441860465,92.78473464519976
78,92.7400468384075,93.98907103825137
79,92.23194748358861,92.99781181619255
80,90.81786251881584,91.31961866532865
81,93.89549922400414,95.13709260217279
82,88.18525519848771,90.02835538752363
83,89.63868225292242,91.71094580233795
84,88.48368522072937,91.61868202175305
85,90.94380796508456,92.58046917621385
86,92.82539682539682,93.84126984126983
87,89.13187541418156,92.71040424121935
88,92.42524916943522,93.55481727574751
89,91.63346613545816,92.69588313413014
90,90.96541042849768,93.03045947341249
91,90.6829010058232,92.42985706723134
92,89.32547478716437,92.73084479371316
93,92.35474006116208,91.25382262996942
94,90.8908908908909,93.24324324324324
95,90.6584992343032,93.00663603879529
96,92.40048250904704,93.60675512665863
97,91.13043478260869,92.8695652173913
98,92.92035398230088,94.80825958702064
99,88.7238352464551,89.26401080351114
100,90.72532699167658,91.73602853745541
101,91.30723291307234,93.5633709356337
102,91.91090269636577,93.96248534583822
103,91.49888143176734,91.66666666666666
104,89.42798774259448,91.6241062308478
105,91.66666666666666,93.01948051948052
106,92.51369446135118,94.52221545952526
107,91.19363395225464,93.26259946949602
108,91.42199194012666,92.80368451352908
109,91.2743972445465,92.76693455797933
110,91.32821075740945,91.93194291986828
111,92.3696937130575,95.16389038151532
112,91.70951156812339,94.1516709511568
113,92.69889224572005,93.65558912386706
114,90.15673981191222,92.2884012539185
115,92.56254225828262,94.52332657200812
116,89.47700063011972,94.07687460617518
117,92.8052805280528,94.25742574257426
118,89.36309914642153,92.44911359159553
119,92.12290502793297,93.96648044692736
120,92.40940254652301,94.4662095984329
121,87.12424849699399,89.72945891783567
122,91.78082191780823,94.2351598173516
123,90.83333333333333,93.33333333333333
124,89.73922902494331,91.66666666666666
125,91.99014171287739,93.53049907578558
126,88.77038895859472,91.1543287327478
127,92.02898550724638,93.04347826086956
128,92.87984742530197,93.83343928798475
129,91.44100580270793,94.29400386847195
130,91.80546302465024,94.07061958694204
131,92.11514392991239,92.8035043804756
132,91.15646258503402,93.19727891156462
133,90.76348104644954,91.19060331019755
134,91.08589951377634,92.86871961102106
135,92.42627345844504,94.70509383378017
136,92.87103046014258,93.97278029812054
137,92.22493887530563,93.54523227383864
138,89.0625,90.16544117647058
139,92.64538198403649,93.38654503990878
140,91.42538975501114,92.48329621380846
141,92.3289183222958,93.54304635761589
142,89.00106269925611,91.65781083953242
143,91.58829676071055,91.48380355276907
144,92.48554913294798,94.36416184971098
145,91.34382566585957,93.52300242130751
146,90.5868680999419,91.40034863451481
147,93.24324324324324,93.02987197724039
148,91.92618223760091,93.25259515570934
149,92.4315619967794,94.41760601180891
