epoch,accuracy_test_before,accuracy_test_after
0,23.96659707724426,65.09394572025052
1,62.29586935638809,79.05859750240154
2,70.28274668205424,78.53433352567801
3,64.64697045568353,80.52078117175763
4,73.3502538071066,84.88034807831762
5,67.66467065868264,87.98872842550193
6,75.27573529411765,86.02941176470588
7,76.05512489233419,86.52024117140397
8,74.85453034081463,87.2402327514547
9,78.0295566502463,86.89655172413792
10,74.90774907749078,86.43911439114392
11,79.46859903381642,86.47342995169082
12,80.71533923303835,87.83185840707965
13,82.50652741514361,88.19843342036555
14,79.96175908221798,87.91586998087955
15,82.15984776403425,90.104662226451
16,82.37082066869301,87.61398176291793
17,81.33125325013,87.6755070202808
18,79.81818181818183,86.65454545454546
19,81.57410812798823,89.00331004045606
20,82.15905654671907,89.1442394919867
21,79.62328767123287,86.98630136986301
22,82.88080994017487,88.90934192360793
23,82.69942780208684,89.63312016156176
24,82.5286212045794,88.0537580886013
25,81.82166092613853,88.82510524301568
26,81.55270655270655,90.99002849002848
27,85.54259455638035,90.03181336161188
28,87.36133122028527,90.72900158478605
29,84.98281786941581,90.79037800687286
30,84.4313890054553,89.59295006294586
31,80.8659793814433,88.5360824742268
32,84.61849010900283,88.05006055712555
33,87.43038981702466,91.52744630071598
34,80.49773755656109,89.7737556561086
35,86.8718348266459,91.15699259836386
36,85.25943396226415,90.64465408805032
37,86.42691415313224,89.52049497293116
38,87.9127925617185,90.89451747354921
39,86.51482284887925,90.49168474331164
40,85.89793533307363,90.06622516556291
41,86.64987405541562,90.62972292191435
42,85.0668968493742,88.95123003884333
43,84.7,90.14999999999999
44,86.51301749893298,89.92744344857022
45,86.23076923076923,90.6923076923077
46,88.12860676009893,91.30255564715581
47,87.36241337138199,90.94985731757032
48,86.59349274794198,90.74872598980792
49,85.97861842105263,88.98026315789474
50,88.29654310703874,90.96209912536443
51,89.00597119775202,91.35932560590095
52,87.37046632124353,91.70984455958549
53,85.66135605779918,91.1819192293442
54,88.3676582761251,90.69412662090008
55,87.6084262701363,89.83890954151177
56,88.58954041204437,92.23454833597464
57,87.57875787578759,91.0891089108911
58,86.92564745196324,90.6015037593985
59,87.52642706131078,90.4016913319239
60,86.96820420958352,90.371697268249
61,88.74367622259697,91.14671163575042
62,86.53321201091902,91.17379435850773
63,88.32463217845277,91.55196962505933
64,88.17857142857143,91.17857142857143
65,89.80008159934721,91.47286821705426
66,88.88888888888889,91.08796296296296
67,86.20094868477793,88.65890470030186
68,87.86900369003689,90.91328413284133
69,87.58526603001364,91.99636198271942
70,84.87903225806451,90.76612903225806
71,89.17239123323519,90.77526987242395
72,87.58915834522111,89.77650974797908
73,89.0048453224003,90.64480059634738
74,85.84353379457158,90.5268759978712
75,86.2298195631529,90.45584045584046
76,88.64207879295893,92.03688181056161
77,89.2156862745098,91.43222506393862
78,90.50818983620329,92.23015539689207
79,88.63391896737181,91.32305485837217
80,88.58321870701513,89.91288399816598
81,88.28125,91.92708333333334
82,88.72675250357653,92.01716738197425
83,86.77797833935018,90.25270758122743
84,88.33746898263027,91.38603332151719
85,89.19883230619526,91.79370742783004
86,88.42216731380162,90.99894105188847
87,86.41025641025641,90.2991452991453
88,90.51838723969871,92.06911829862649
89,86.8970482361411,90.20878329733621
90,89.52419032387046,91.96321471411434
91,90.57262569832403,92.10893854748603
92,88.64723792953458,91.21357111787734
93,88.88888888888889,91.96141479099678
94,88.15207780725022,91.2024756852343
95,89.11754447157307,90.75688873386815
96,88.38656159270012,91.08253836582331
97,87.46803069053708,90.076726342711
