epoch,accuracy_test_before,accuracy_test_after
0,9.63531669865643,54.31861804222648
1,35.42729591836735,59.119897959183675
2,31.865965834428383,66.55716162943496
3,43.02872062663185,64.62140992167102
4,42.72445820433436,66.56346749226006
5,46.6639038541235,59.718193120596766
6,40.86985391766269,72.90836653386454
7,44.28139835994821,76.73716012084593
8,50.435073627844716,80.58902275769746
9,52.172226532195495,77.30799069045771
10,46.4106081390032,75.49154092363969
11,56.48592999313659,80.30199039121483
12,55.54231227651967,73.7783075089392
13,51.5472097328749,76.7521819624438
14,67.55775577557756,80.13201320132013
15,42.267552182163186,76.280834914611
16,62.86427976686095,77.39383846794338
17,50.94279322467242,73.8255033557047
18,47.113594040968344,80.02793296089385
19,55.794137695978186,74.3694614860259
20,52.6993207007508,77.5831247765463
21,43.857142857142854,82.39285714285714
22,48.146687697160885,78.82492113564669
23,50.63049293083684,73.78677875429882
24,54.63692038495188,76.42169728783902
25,54.509324365637426,76.85723020483033
26,47.40521645603657,78.67706372680829
27,52.77679518924655,75.06190307746728
28,59.463487332339795,80.10432190760059
29,47.162992410552945,80.33971810625225
30,52.229811169144234,79.75090397750101
31,55.58766859344894,81.47077713551703
32,55.22531160115053,77.61265580057525
33,56.12369871402328,77.37293325168402
34,60.238907849829346,78.839590443686
35,54.71467805920048,76.28928898382668
36,61.51394422310757,78.16733067729083
37,60.78028747433265,76.91405104136109
38,54.823602872307205,75.55416796753043
39,54.11991022763706,76.88361654376402
40,58.60289057123194,72.29869236063318
41,61.73913043478261,81.256038647343
42,56.80212014134276,78.79858657243817
43,49.58888573858803,79.67110859087043
44,51.3412017167382,78.46030042918454
45,59.74217311233886,74.54880294659301
46,56.53032440056418,77.29196050775741
47,55.26228967337512,75.48663807324316
48,54.75088483528451,80.01633542063709
49,55.8687120941848,77.45272921869426
50,57.63729977116705,74.68535469107552
51,62.2478386167147,77.95389048991355
52,62.90429042904291,79.73597359735973
53,58.75706214689266,79.13950456323337
54,58.386491557223266,82.4765478424015
55,55.34129170492806,75.81879400061217
56,60.93552465233881,76.06405394016014
57,58.994708994709,76.15268329554044
58,62.218945816439366,76.88905270917803
59,64.65487339576829,74.36697884148457
60,61.67094173689996,77.94063759618908
61,55.71315996847912,77.02915681639085
62,50.143884892086334,82.4820143884892
63,61.20117907148121,74.57627118644068
64,57.941437444543034,76.98905649216208
65,64.60491269606392,77.86327315773897
66,62.198313463216046,77.92963070660076
67,65.20290732889158,76.43852210781344
68,59.55649419218585,75.04399859204506
69,67.54353464246017,77.5842904779548
70,60.670194003527335,80.15873015873017
71,66.12094005809348,80.35384209136521
72,56.401886108088505,78.05585781646718
73,56.358381502890175,80.2504816955684
74,61.13664855829503,81.15336397826995
75,54.29627348321527,81.6137973514013
76,58.8779468815279,80.18501939719486
77,56.97478991596638,75.59663865546219
78,64.77508650519032,76.9204152249135
79,63.67378440957037,78.54386416259325
80,56.353591160220994,77.52253562082001
81,59.88191423244251,80.32939714108142
82,53.58807082945014,80.4287045666356
83,60.13395457192778,79.90681421083285
84,59.613196814561995,81.15282518012893
85,66.3768115942029,79.58592132505176
86,51.73025732031943,76.35314995563442
87,66.04103011785246,74.33435181143605
88,59.671052631578945,79.24342105263158
89,60.22692425636308,76.05029132168046
90,58.65593062867761,77.11365747909569
91,66.10814927646611,75.51408987052551
92,64.21663442940039,76.2862669245648
93,62.95627032887604,71.23238164076618
94,69.02101028162718,73.7594993294591
95,67.12662337662337,78.77435064935064
96,60.49246600514516,78.53730246233003
97,59.69881678020796,73.64646826819649
98,66.45255474452554,74.86131386861314
99,61.6580310880829,80.58987644479872
