epoch,accuracy_test_before,accuracy_test_after
0,3.006012024048096,7.481629926519706
1,6.139240506329114,11.012658227848101
2,9.602021478205938,15.476942514213517
3,10.501672240802677,16.588628762541806
4,12.296681847755368,16.395575797007155
5,14.534494306764904,17.81647689216343
6,12.92604501607717,17.877813504823152
7,13.99097356544165,19.729206963249517
8,16.108654453569173,18.572331017056225
9,15.043653458697111,18.535930154466087
10,15.267680105750165,18.17580964970258
11,16.03459747172322,21.157684630738522
12,15.253077975376197,22.77701778385773
13,15.28169014084507,19.014084507042252
14,16.05839416058394,19.708029197080293
15,17.62688614540466,21.536351165980797
16,17.05639614855571,21.801925722145803
17,15.10892480674631,21.57413914265636
18,17.018469656992085,22.361477572559366
19,16.882232811436353,24.642614023144997
20,19.018404907975462,22.01772324471711
21,17.872044506258693,21.905424200278166
22,18.187964841108858,21.50101419878296
23,20.122365737593473,24.94901427600272
24,19.315245478036175,25.387596899224807
25,17.418159357628166,22.05064854848672
26,18.470020675396277,24.465885596140595
27,17.699724517906336,23.484848484848484
28,18.543956043956044,24.38186813186813
29,21.689953426480375,24.683965402528276
30,21.336934503713707,28.156650911546254
31,19.00483759502419,25.017277125086384
32,21.295658166781532,25.29290144727774
33,20.350404312668463,26.347708894878707
34,18.386876281613123,23.034859876965143
35,19.971367215461704,23.97995705082319
36,19.42781104457751,25.482368596141054
37,21.517331589274036,27.01111837802485
38,21.41400407885792,25.424881033310676
39,18.87966804979253,24.481327800829874
40,20.56262558606832,26.72471533824514
41,21.696252465483234,25.904010519395136
42,21.3953488372093,26.64451827242525
43,19.281271596406356,24.187975120939875
44,20.581973030518096,27.466288147622425
45,22.742040285899932,26.900584795321635
46,21.025641025641026,25.64102564102564
47,23.28508495909377,28.760226557583383
48,23.42402123424021,26.47644326476443
49,22.496749024707412,25.682704811443436
50,21.366376423308775,25.25117213663764
51,22.7125243348475,25.89227774172615
52,20.86428089128967,24.37542201215395
53,21.575342465753426,26.91780821917808
54,22.317314022383147,26.925608953258724
55,21.68592794017675,27.056424201223656
56,24.04632152588556,29.836512261580385
57,22.470341939986042,27.145847871598043
58,22.39115411195577,27.021423635107116
59,24.16331994645248,26.37215528781794
60,24.146981627296586,29.593175853018373
61,22.59552042160738,28.19499341238472
62,22.16678545972915,27.369921596578763
63,23.696682464454977,29.045362220717667
64,23.044982698961938,27.197231833910035
65,25.61683599419449,30.043541364296082
66,22.12566844919786,26.737967914438503
67,24.63949843260188,30.846394984326018
68,22.42811501597444,26.709265175718848
69,26.56875834445928,30.640854472630174
70,23.041775456919062,27.154046997389038
71,25.378266850068776,31.224209078404403
72,24.589086127547667,29.914529914529915
73,27.970627503337788,31.575433911882513
74,26.7741935483871,30.0
75,24.747814391392065,29.72427706792199
76,26.648721399730825,31.090174966352624
77,25.63131313131313,30.23989898989899
78,26.344827586206897,31.655172413793103
79,26.10103626943005,29.857512953367877
80,26.15681233933162,30.141388174807197
81,24.830393487109905,29.036635006784262
82,24.378109452736318,29.21108742004264
83,24.062713019768232,29.243353783231086
84,25.25597269624573,29.624573378839592
85,26.411290322580644,29.771505376344088
86,25.910652920962203,28.865979381443296
87,24.660194174757283,29.967637540453072
88,25.419181757209923,27.76659959758551
89,28.12299807815503,31.582319026265214
90,25.591098748261476,28.99860917941586
91,25.68930733019502,30.329522528581037
92,27.290836653386453,29.814077025232404
93,27.01801200800534,30.820547031354234
94,26.216742375081115,29.26670992861778
