epoch,accuracy_test_before,accuracy_test_after
0,60.90659737259997,80.73239978826813
1,76.32598468775943,83.05506872059773
2,77.03076156390159,84.63280931454719
3,78.45402460787076,84.27726120033813
4,81.61346201435288,85.52338530066815
5,79.89492301290055,84.63899292550978
6,77.97997705704452,82.90749817499218
7,83.15018315018315,85.67657832363714
8,81.65987582460225,86.00116414435391
9,80.48839575560831,83.8412713794273
10,81.08203677510608,85.03738128914932
11,81.02822975887081,85.90472456381102
12,81.74914379312057,85.76462996972253
13,82.73398315510552,85.9136935743352
14,80.49192639879836,84.4770935035674
15,82.71205253908056,86.66635833872908
16,82.78989948516792,86.07992154939936
17,82.66496163682865,86.41432225063939
18,83.51529918935383,86.59388032425846
19,82.6237291634412,85.84920266295092
20,83.61609784967449,85.79108305385678
21,82.41428637349453,85.41830095519357
22,83.83417085427136,85.55276381909547
23,82.8213567379777,86.10349241177546
24,84.33704453441295,86.05263157894737
25,84.0462000949317,86.41421865935341
26,82.88355449530341,85.6368967745142
27,83.71227569331158,86.76080750407831
28,83.85319193179456,85.71428571428571
29,83.85553695288208,85.92202822291318
30,84.8824811088962,86.32423160725048
31,81.44411998938146,85.09158481550305
32,83.49270256668345,85.82284851534978
33,82.68956331462277,85.59128532014081
34,84.2032967032967,86.26882376882376
35,83.7509377344336,85.37134283570893
36,83.5599922839506,87.17206790123457
37,84.17569193742479,86.37457608576742
38,84.77400439775225,86.55753725873443
39,83.7485172004745,85.8540925266904
40,84.60793335593549,87.03927931418607
41,84.55734406438631,86.97183098591549
42,84.49579609750938,87.11332028977844
43,83.22500940001075,86.14169844765537
44,81.99078598352646,84.64795942109916
45,84.9609375,87.392578125
46,84.95820243863479,86.72062190511687
47,84.1717791411043,86.88060405851817
48,83.24208156373126,86.39922222790769
49,84.36007288127246,86.31998818141527
50,84.24807903402855,85.76489372318133
51,84.82237259462889,87.54493550433496
52,83.72804816859006,85.33366783743101
53,82.8151608037756,85.6809224930667
54,85.67051373710551,86.819528138086
55,83.73911101183829,85.79405852133125
56,85.01478474414876,86.79897759735378
57,86.0056657223796,87.22379603399433
58,84.6474455377476,86.59820392729772
59,86.391829501469,88.07069906263116
60,85.15513805863934,86.49777018692475
61,84.59205776173285,86.13718411552347
62,84.61358969572522,86.74164644390517
63,83.90142345308415,86.97104677060133
64,84.96856265535897,86.35278062094848
65,84.60814203730273,85.8590387374462
66,84.41794761289087,86.29986113106355
67,84.57716487527884,86.7927398093693
68,83.04460703327827,85.59830068444654
69,85.23676880222841,87.65697063792868
70,85.1173256187721,87.52812600450017
71,85.12022506483802,87.36208184975163
72,84.52613204641133,86.964780778314
73,85.08350931080821,86.14897293146477
74,83.6842105263158,86.33040935672514
75,83.69545118343196,85.43361686390533
76,84.82919481024345,86.63686282132271
77,84.86229728432973,86.973419057672
78,84.5859511549908,86.71642496102791
79,83.4610077556264,85.5497930246943
80,85.88988216172288,87.52031694433158
81,84.49056411821557,87.22213744341015
82,84.33333333333334,85.97512437810946
83,86.08704728107713,88.07535747834255
84,83.2622187742436,85.60899922420481
85,83.91619244697361,85.37506466632178
86,85.20761245674741,86.95213379469435
87,84.67342838943604,86.38345827821058
88,84.57301618249171,86.33749268863326
89,85.44145732334361,86.97419323245678
90,84.0705518080283,85.91728408713922
91,85.33668112303127,86.83405615156357
92,82.77237596609325,84.82672650211917
93,84.47669305189093,85.69334506009967
94,85.2236848496624,87.09865449069801
95,84.3859649122807,86.40350877192982
96,86.10452530666942,88.17132254406762
97,83.3214103219213,84.9514563106796
98,85.17960180901389,87.0977803191766
99,84.8337501157729,86.63980735389461
100,84.49899283271655,86.22757296107181
101,84.6454602500362,86.20939325191871
102,84.6609837350578,86.42955124436605
103,84.60794272722876,86.8959512407488
104,83.95199148235977,85.93621448966752
105,84.33219178082192,86.03948428686543
106,85.63147391428299,87.09968640121637
107,84.8761408083442,86.61761966846713
108,84.17381974248927,86.05637924307452
109,85.1050738356683,87.21601666035592
110,84.52562417871222,86.28120893561105
111,85.19876495561559,87.40351215746816
112,82.85175255684639,84.73339291033662
113,84.40031614305474,86.36633076467102
